logFC logCPM F PValue FDR
Dinc119069-RA 2.46918068588277 0.348525371925705 65.8653240736182 3.59404412639134e-09 2.83379701286288e-05
Dinc105141-RA -1.6529600529849 2.65944106250341 63.6541982847293 4.53988627501263e-09 2.83379701286288e-05
Dinc100799-RA 1.49162000559331 1.68846838834451 59.3859005153962 8.73254966097562e-09 3.63390499892065e-05
Dinc127388-RA 1.56232417865913 4.70171073380053 43.9604800257912 1.77326884035935e-07 0.000553437205076153
Dinc061121-RA 1.76469314918215 5.59550804437438 40.9827306733705 4.39195137829207e-07 0.000966093428243831
Dinc111345-RA 1.23351933899902 -0.187446460659371 39.6169185074849 4.64319174099887e-07 0.000966093428243831
Dinc067761-RA 1.78060142466262 0.00209774111654354 37.791254506708 7.19613511327032e-07 0.00106660378931867
Dinc089930-RA 1.489447845692 -1.1009396026901 37.1158201961034 8.31090344208489e-07 0.00106660378931867
Dinc53962-RA -1.38915719816475 7.86306718243 37.0882210374994 8.36548331521518e-07 0.00106660378931867
Dinc060449-RA 1.50210420864333 0.374606112849495 36.9979950492124 8.54658995420452e-07 0.00106660378931867
Dinc19092-RA 1.46976016440504 0.6735277786544 36.5993638812189 9.39814296900465e-07 0.00106660378931867
Dinc100592-RA -1.52179558223481 -1.34388864700884 35.8858052211022 1.1155971405779e-06 0.00116059289191454
Dinc071422-RA 1.31164087350927 1.22932540448876 35.321059832062 1.27945415641516e-06 0.00116709073220594
Dinc128770-RA 0.914502743417609 2.8077144939268 35.2139716703077 1.31331639511363e-06 0.00116709073220594
Dinc29778-RA 1.1205261889105 1.31090918262243 34.9459857312115 1.40230382754638e-06 0.00116709073220594
Dinc090102-RA 1.08029289984899 1.66126760330665 34.423496054238 1.59477594214918e-06 0.00117102507415013
Dinc082995-RA -1.89668597017299 -0.479047345566418 35.077376223876 1.6729580777171e-06 0.00117102507415013
Dinc083274-RA 3.64938182926592 -1.49210296203254 35.8537507593593 1.69906679388874e-06 0.00117102507415013
Dinc105356-RA -0.985714539209472 1.53502290068758 33.9754526740232 1.78223937911347e-06 0.00117102507415013
Dinc100785-RA -1.94309609959957 4.56906307262775 36.6892733917687 2.00888152794136e-06 0.00120538212372667
Dinc135932-RA -1.0596354029924 0.968234362328335 33.1842835644615 2.17290750432793e-06 0.00120538212372667
Dinc111643-RA -1.19625601126952 -0.481987020061345 33.1481738212705 2.19278426736008e-06 0.00120538212372667
Dinc095472-RA 2.90253189746912 -0.239955235259681 35.9643388239928 2.31575635109508e-06 0.00120538212372667
Dinc095654-RA 0.818668085882888 4.39651895747227 32.8128377030289 2.38688517320107e-06 0.00120538212372667
Dinc119782-RA 1.12873770482755 1.96850134262967 32.7685531881895 2.41385398054843e-06 0.00120538212372667
Dinc108568-RA -1.09225369201034 1.76609373654613 32.3703892038105 2.67141018872629e-06 0.00127398898320245
Dinc126241-RA 0.982652632157842 2.49805624251477 32.1862968129158 2.80023615072016e-06 0.00127398898320245
Dinc097505-RA 1.01998544811029 5.21407658971725 31.9739067182239 2.95712452914379e-06 0.00127398898320245
Dinc091776-RA -1.45400062280567 0.150247803985898 32.1298623655966 2.95944252746484e-06 0.00127398898320245
Dinc111902-RA -1.02059399675249 3.34614029749853 31.6542253648559 3.21115010045549e-06 0.00133626659513621
Dinc104760-RA 2.21595551557635 -2.0082320026679 30.9658436968311 3.84041014638224e-06 0.00150269671463407
Dinc071390-RA -0.855043919158229 0.526998066378953 30.9544843512803 3.85183393690247e-06 0.00150269671463407
Dinc110904-RA -1.26910684929462 1.2593206406168 30.8729712925182 4.45470701756488e-06 0.00166547032549109
Dinc136090-RA 1.05042638737423 1.8926066341776 30.3326244366737 4.53588521841535e-06 0.00166547032549109
Dinc088028-RA 1.12269344450912 0.266513375299063 30.0123049236556 4.93768780407321e-06 0.00176120270131571
Dinc114251-RA 0.978108282006969 0.236216613447164 29.7647102919153 5.27417268826719e-06 0.00182896588445354
Dinc069443-RA 2.41834367271796 -0.405174170376967 30.8666628735228 6.25374811888331e-06 0.00211004841935512
Dinc095870-RA 1.04005621427908 0.911690828573087 28.5308360931555 7.3564643985314e-06 0.00241679214608595
Dinc104643-RA 1.00547585739484 2.46249294388584 28.4007243745683 7.62236727575941e-06 0.00243993930950206
Dinc099267-RA 1.22604426577745 0.778334209288949 28.0271883593642 8.44418585562019e-06 0.00259578003320543
Dinc095511-RA 1.20659080557229 1.25046871810529 27.9236789676062 8.68824728358176e-06 0.00259578003320543
Dinc41693-RA 3.21838134741743 0.500740338194774 31.5284555261244 9.13669985200055e-06 0.00259578003320543
Dinc086672-RA -1.86592263298634 -0.198996703933119 29.2996039433924 9.21112138433448e-06 0.00259578003320543
Dinc128726-RA 1.36102386989443 0.281284296521328 27.6692798218115 9.32056014481377e-06 0.00259578003320543
Dinc082500-RA -1.59006226590673 -1.09486190409311 27.4842743226009 9.81107430221969e-06 0.00259578003320543
Dinc119887-RA -1.29087432239115 0.0358086949424452 27.4530696210511 9.89648241702756e-06 0.00259578003320543
Dinc096341-RA 1.26341058139821 1.29446859694981 27.6658729951589 9.9810770026082e-06 0.00259578003320543
Dinc082301-RA -1.00709163990452 -0.587344923791682 27.3886708499385 1.00752557216027e-05 0.00259578003320543
Dinc074834-RA 2.10126445158799 2.50255881587781 30.2181188476382 1.02513064517757e-05 0.00259578003320543
Dinc083646-RA 0.789779632532846 2.55527894042446 27.2759747086479 1.03964275600987e-05 0.00259578003320543
Dinc36662-RA -0.877002405542202 1.27957115577836 27.1836002514821 1.06678114762345e-05 0.00261131291116297
Dinc120517-RA 0.887849372216028 0.233770829708533 27.0075191427408 1.12062231415465e-05 0.00269035557113591
Dinc116011-RA 1.62528190575168 -0.613876201061577 26.5185108441003 1.28589345617956e-05 0.00301626844463637
Dinc069138-RA 2.32279745940545 -0.352327643995926 28.2213414156028 1.30469798149923e-05 0.00301626844463637
Dinc101708-RA 1.1006360100237 1.09146804263763 25.8160322131086 1.57026028434312e-05 0.00356209410200771
Dinc069563-RA 1.33838998098851 -0.137339596704786 25.7551893048369 1.59786342288074e-05 0.00356209410200771
Dinc108420-RA 1.03845043490889 3.01537079117141 25.5995479297462 1.67085277390432e-05 0.00364524128380164
Dinc096034-RA 0.872340214228336 3.61494369186248 25.5526007863594 1.69355971211547e-05 0.00364524128380164
Dinc114258-RA 0.826744813104411 2.19198261600267 25.4189910781068 1.7599995403839e-05 0.00372403970544959
Dinc33828-RA 1.28476873939409 -1.01296971440869 25.3023614826913 1.82026581687027e-05 0.00375447057031006
Dinc115682-RA 1.23076846221524 6.31936090133901 25.2753588313539 1.83452983650203e-05 0.00375447057031006
Dinc074531-RA 1.63072993982277 0.388110474397442 26.0582466338618 1.92743261352044e-05 0.00379964067872937
Dinc37563-RA -1.23120113380063 -0.769235434160089 25.0327518146833 1.96815484286286e-05 0.00379964067872937
Dinc40557-RA -1.30510991262468 1.61817826719845 25.8381596226707 1.9723991625492e-05 0.00379964067872937
Dinc125308-RA 0.917946309531614 5.15726309317614 25.0010835138444 1.98634789002702e-05 0.00379964067872937
Dinc134023-RA -1.08227064429053 -0.410695227185699 24.9624562583434 2.00878151871306e-05 0.00379964067872937
Dinc114860-RA 0.960064542984398 1.19569873020813 24.8766764208607 2.05957056082949e-05 0.00383756401214856
Dinc117698-RA -0.746179658731515 1.0585966484018 24.6416962040404 2.20583100249287e-05 0.00404964621104721
Dinc117204-RA 2.40423221943557 -1.27222224461257 25.2529727093608 2.33955306989553e-05 0.00423289572819939
Dinc097553-RA 0.9471070960192 1.38950987598476 24.0408608620807 2.63249206776076e-05 0.00469486156770362
Dinc096279-RA -1.40500785105169 -1.39985130993993 23.9882012959474 2.67386757586848e-05 0.00470148772072424
Dinc133819-RA 0.775256918350888 1.79663918698786 23.8738285957634 2.76613681879467e-05 0.00479617389525453
Dinc136461-RA -1.16234010269404 5.57267456011323 23.8329216365996 2.87589681257367e-05 0.00491817750796846
Dinc00825-RA 1.43592644837588 1.45090539007046 24.7707388616172 2.92103681995097e-05 0.00492786806219836
Dinc069319-RA 1.82194596479172 -1.77278680962316 23.5983608356125 3.00257625337648e-05 0.00499677943361895
Dinc35417-RA 2.58858082264243 -1.08437133143718 24.7992223284819 3.06042652412991e-05 0.00499677943361895
Dinc092213-RA -2.18290381462869 1.14048420201155 26.0695216321805 3.09769179652532e-05 0.00499677943361895
Dinc063551-RA 1.01671220466969 6.33641390387061 23.4678946121687 3.12198650931014e-05 0.00499677943361895
Dinc128985-RA 1.10375573566909 -1.14893494744137 23.3138077144202 3.26956473379811e-05 0.00516501837614719
Dinc105668-RA 1.22270650197204 -0.575066227108651 23.2335093762635 3.34940048078926e-05 0.00516501837614719
Dinc39686-RA 1.40757061692606 5.78463305807948 23.8296909637215 3.35122147122655e-05 0.00516501837614719
Dinc46891-RA -1.55641795118735 6.80798048648379 23.9849407257755 3.42869788915231e-05 0.00520791371859475
Dinc109541-RA -1.38174844812849 -0.755896274403715 23.1212030934407 3.46456097721918e-05 0.00520791371859475
Dinc111364-RA 0.973346229161283 8.40197183074518 23.0320547783528 3.55897636887089e-05 0.00520791371859475
Dinc121039-RB 2.68221306621693 3.09210266887314 26.0455392926351 3.57188272358829e-05 0.00520791371859475
Dinc109200-RA -0.819919612976295 0.319552478855773 23.0054909318774 3.58763681351448e-05 0.00520791371859475
Dinc38121-RA 0.796809053256343 1.87863663177766 22.7974931224096 3.8207337471606e-05 0.00544959215377847
Dinc095941-RA 0.805540361252569 -0.104668146077795 22.779682764343 3.84142990654041e-05 0.00544959215377847
Dinc077932-RA -1.34540813062048 -1.62579412508364 22.7225695347478 3.90860656927359e-05 0.00548083152942715
Dinc077981-RA 1.01559229168941 1.24361106805451 22.6868490409403 3.9512563092634e-05 0.00548083152942715
Dinc132630-RA -1.60353808506605 -1.20009175321269 22.5372217297128 4.13537191498959e-05 0.0056731849435967
Dinc122230-RB -1.92953907508837 0.876595161916707 24.5482249018531 4.20251333131339e-05 0.00570262787262135
Dinc075827-RA 1.60225166610571 1.77731538616017 23.9608527099579 4.30301308413587e-05 0.00577621670347873
Dinc095578-RA -0.894060858451426 -0.44116190268852 22.3608027983985 4.36426749868925e-05 0.00579611866528048
Dinc126605-RA 0.921349235361104 1.96077304718446 22.0952036244505 4.7346877527417e-05 0.00622187809528709
Dinc113387-RA 0.923229537746074 1.15652239583987 22.0372870790031 4.81982631238653e-05 0.00626778246706598
Dinc109505-RA -1.34013241588633 -0.952338670366646 21.8828976440607 5.05485143725918e-05 0.00644952920398282
Dinc079735-RB -0.747788869215435 0.304897605859026 21.8777394845111 5.06291142254338e-05 0.00644952920398282
Dinc091083-RA -1.15456756412982 4.17489230907448 22.2215143006051 5.19164107155145e-05 0.00654671183204528
Dinc085612-RA 0.992628353887844 5.54839238920539 21.5333771883187 5.63324044827707e-05 0.00694674600818982
Dinc123280-RA 0.879549269794212 1.49827863721444 21.505699370589 5.68196272836749e-05 0.00694674600818982
Dinc083233-RA 0.834394017865808 1.17593455653847 21.4832442860723 5.72182114387219e-05 0.00694674600818982
Dinc090472-RA -1.25641623330013 0.74029525038009 22.0794308202101 5.80168997292475e-05 0.00694674600818982
Dinc061417-RA -0.770384439048641 0.75881956423844 21.4209995030193 5.83387299091074e-05 0.00694674600818982
